               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.031852,            0.055472,            0.002726,             0.92894,             0.87878,             0.92961,             0.66377,            0.027485,            0.028833,           0.0011661,            0.006013,            0.006013,            0.006013
                 104,            0.032251,            0.055824,           0.0027974,             0.91786,             0.87485,             0.92909,             0.63638,            0.029512,            0.031132,           0.0013232,           0.0059491,           0.0059491,           0.0059491
                 105,            0.031516,            0.053298,            0.002578,             0.91439,             0.87344,             0.92391,             0.66062,            0.027422,            0.028438,           0.0012556,           0.0058851,           0.0058851,           0.0058851
                 106,            0.031099,            0.053753,           0.0025941,             0.91996,              0.8832,             0.92494,             0.66268,            0.027504,            0.028227,            0.001167,            0.005821,            0.005821,            0.005821
                 107,             0.03137,            0.055132,            0.002677,             0.94619,             0.89853,             0.94382,             0.67831,            0.027461,            0.028096,           0.0010483,           0.0057569,           0.0057569,           0.0057569
                 108,             0.03128,            0.053649,           0.0028224,             0.91539,             0.89979,             0.93695,             0.67104,            0.028074,            0.029183,           0.0011576,           0.0056927,           0.0056927,           0.0056927
                 109,            0.031721,            0.054355,           0.0024878,             0.94994,             0.87481,             0.93679,             0.68103,            0.027121,            0.027825,           0.0010898,           0.0056285,           0.0056285,           0.0056285
                 110,            0.031095,             0.05327,           0.0024647,             0.94125,             0.88686,             0.93677,             0.68918,            0.026543,            0.027527,           0.0010721,           0.0055643,           0.0055643,           0.0055643
                 111,            0.031179,            0.054082,           0.0026973,             0.94661,             0.90588,             0.94257,             0.67502,            0.027715,            0.028028,           0.0010032,              0.0055,              0.0055,              0.0055
                 112,             0.03097,            0.053172,           0.0023602,             0.94309,             0.87799,             0.94053,             0.67829,            0.026977,            0.028007,           0.0010719,           0.0054357,           0.0054357,           0.0054357
                 113,            0.030942,            0.052456,           0.0024022,              0.9439,             0.90399,             0.94583,             0.70711,            0.026053,            0.026653,           0.0010045,           0.0053715,           0.0053715,           0.0053715
                 114,            0.031528,            0.054005,           0.0023763,             0.95779,               0.886,             0.93929,             0.66831,            0.027533,            0.027824,           0.0010749,           0.0053073,           0.0053073,           0.0053073
                 115,            0.030444,            0.051173,           0.0025304,              0.9446,             0.90505,             0.95376,             0.68977,            0.026888,            0.027346,          0.00095743,           0.0052431,           0.0052431,           0.0052431
                 116,            0.030724,            0.052629,           0.0023427,             0.95288,             0.91426,             0.95383,             0.71172,            0.025762,            0.026381,          0.00096007,            0.005179,            0.005179,            0.005179
                 117,            0.030347,            0.052197,           0.0023403,             0.95292,             0.90267,             0.94295,             0.68263,            0.026587,            0.026986,          0.00097733,           0.0051149,           0.0051149,           0.0051149
                 118,            0.030719,            0.051412,           0.0025388,             0.93756,             0.91995,             0.95386,             0.71411,            0.025682,            0.026579,          0.00090685,           0.0050509,           0.0050509,           0.0050509
                 119,            0.030237,            0.051975,           0.0024616,             0.92246,             0.91704,             0.94588,             0.69974,            0.026089,            0.027181,          0.00099367,            0.004987,            0.004987,            0.004987
                 120,            0.030837,            0.052294,           0.0023411,             0.94993,             0.88114,             0.94486,             0.68278,            0.027064,            0.028041,           0.0010678,           0.0049233,           0.0049233,           0.0049233
                 121,             0.02988,            0.050584,           0.0021794,             0.96209,             0.91376,             0.95749,             0.72232,            0.025113,             0.02563,          0.00089784,           0.0048596,           0.0048596,           0.0048596
                 122,            0.030368,            0.052519,           0.0023853,             0.93013,             0.92799,              0.9532,              0.7154,            0.025716,            0.026442,            0.000942,            0.004796,            0.004796,            0.004796
                 123,            0.029738,            0.050486,           0.0022499,             0.92604,             0.92214,             0.94896,             0.70002,            0.026099,            0.026905,           0.0008998,           0.0047327,           0.0047327,           0.0047327
                 124,            0.029856,             0.04953,           0.0023188,             0.94481,             0.91297,             0.94844,             0.65906,            0.028435,            0.028472,          0.00093022,           0.0046694,           0.0046694,           0.0046694
                 125,            0.029774,            0.051342,           0.0024075,             0.93849,             0.90011,             0.94452,              0.6876,            0.026833,            0.027667,          0.00095998,           0.0046063,           0.0046063,           0.0046063
                 126,            0.029467,            0.050539,           0.0023203,             0.94849,             0.90407,             0.94604,             0.70755,            0.025493,            0.025962,          0.00089157,           0.0045435,           0.0045435,           0.0045435
                 127,             0.02981,             0.05134,           0.0022759,             0.96321,             0.92101,             0.95714,             0.72494,            0.024906,            0.025477,          0.00086015,           0.0044808,           0.0044808,           0.0044808
                 128,             0.02944,            0.050801,           0.0021529,             0.96984,             0.90332,             0.95252,             0.71511,            0.025609,            0.026239,          0.00085051,           0.0044183,           0.0044183,           0.0044183
                 129,            0.029616,             0.05147,           0.0020996,             0.96643,             0.90239,             0.94903,             0.70387,            0.025749,              0.0262,          0.00086796,            0.004356,            0.004356,            0.004356
                 130,            0.029229,             0.05128,           0.0020897,             0.93957,             0.89491,             0.94271,              0.6795,            0.027037,            0.027456,          0.00094046,            0.004294,            0.004294,            0.004294
                 131,            0.029078,            0.049733,           0.0022345,             0.97327,             0.92282,             0.95986,             0.72379,            0.024867,            0.025485,          0.00080149,           0.0042322,           0.0042322,           0.0042322
                 132,            0.029165,             0.05054,           0.0020931,              0.9645,             0.92112,             0.95984,             0.73162,            0.024447,            0.024994,          0.00077456,           0.0041707,           0.0041707,           0.0041707
                 133,              0.0293,            0.050532,           0.0022024,             0.95786,             0.91576,             0.95824,             0.72046,             0.02513,            0.025462,          0.00080445,           0.0041094,           0.0041094,           0.0041094
                 134,            0.029372,            0.050888,           0.0020317,             0.96084,             0.91078,             0.95447,             0.71206,            0.025483,            0.026027,          0.00083355,           0.0040485,           0.0040485,           0.0040485
                 135,            0.029193,              0.0502,           0.0020721,             0.95828,             0.92441,             0.95576,             0.72873,            0.024593,            0.024926,          0.00080901,           0.0039878,           0.0039878,           0.0039878
                 136,            0.028979,            0.049931,           0.0020884,             0.95445,             0.93292,             0.95933,              0.7088,            0.025622,            0.026102,          0.00077925,           0.0039274,           0.0039274,           0.0039274
                 137,            0.028578,             0.04955,           0.0020843,             0.95001,             0.92161,             0.95641,             0.72126,            0.024416,            0.024902,          0.00080195,           0.0038674,           0.0038674,           0.0038674
                 138,            0.028507,            0.048966,           0.0020738,             0.94531,             0.91403,             0.94799,             0.69334,             0.02574,             0.02597,          0.00084594,           0.0038077,           0.0038077,           0.0038077
                 139,            0.028375,             0.04804,           0.0020898,              0.9613,             0.92181,             0.95964,             0.73059,            0.024908,            0.025098,          0.00075635,           0.0037483,           0.0037483,           0.0037483
                 140,            0.028506,            0.049912,           0.0020849,             0.95179,             0.93888,             0.96038,             0.73756,            0.023848,            0.024501,          0.00074233,           0.0036893,           0.0036893,           0.0036893
                 141,            0.028859,             0.04995,           0.0019539,             0.95926,             0.91997,             0.96066,             0.73044,            0.024817,            0.025616,          0.00076142,           0.0036306,           0.0036306,           0.0036306
                 142,             0.02813,            0.049172,           0.0019502,             0.95999,             0.92815,             0.96144,             0.73986,             0.02415,            0.024662,          0.00072102,           0.0035724,           0.0035724,           0.0035724
